english_word,word_class,tamil_translation,transliteration,verb_transitivity,level
east (eastern),adjective,கிழக்கு / கிழக்கத்திய,kiḻakku / kiḻakkattiya,,a1
east (moving toward the direction),adverb,கிழக்கு நோக்கி / கிழக்கு திசையில்,kiḻakku nōkki / kiḻakku ticaiyil,,a1
east (the direction),adverb,கிழக்கே,kiḻakkē,,a1
"east (the direction, adj.)",adjective,கிழக்கு / கீழ்த்திசை,kiḻakku / kīḻtticai,,a1
"east (the direction, noun)",noun,கிழக்கு / கீழ்த்திசை / கீழ்,kiḻakku / kīḻtticai / kīḻ,,a1
eastern,adjective,கிழக்கு / கீழ்த்திசை,kiḻakku / kīḻtticai,,a1
easy (simple or straightforward nature),adjective,சுலபம் / எளிது / இலகு,culapam / eḷitu / ilaku,,a1
easy (simple or straightforward),adjective,சுலபம் / எளிது / இலகு,culapam / eḷitu / ilaku,,a1
eatery (simple dining place),noun,உணவகம் / சிற்றுண்டிச்சாலை,uṇavakam / ciṟṟuṇṭiccālai,,a1
egg,noun,முட்டை,muṭṭai,,a1
eight,number,எட்டு,eṭṭu,,a1
eighteen,number,பதினெட்டு,patiṉeṭṭu,,a1
eighty,number,எண்பது,eṇpatu,,a1
elephant,noun,யானை,yāṉai,,a1
eleven,number,பதினொன்று,patiṉoṉṟu,,a1
else (other or additional),adverb,வேறு / மற்ற,vēṟu / maṟṟa,,a1
else (otherwise),adverb,இல்லையெனில் / இல்லாவிட்டால்,illaiyeṉil / illāviṭṭāl,,a1
"end (conclusion, finish)",noun,முடிவு / இறுதி,muṭivu / iṟuti,,a1
"end (physical extremity, tip)",noun,முனை / நுனி / கடைசி,muṉai / nuṉi / kaṭaici,,a1
enough,adverb,போதுமான அளவு,pōtumāṉa aḷavu,,a1
enough (a sufficient quantity),pronoun,போதும் / போதுமானது,pōtum / pōtumāṉatu,,a1
"enough (stop, that is sufficient)",pronoun,போதும்,pōtum,,a1
"enough! (stop, that's sufficient)",determiner,போதும்,pōtum,,a1
euro,noun,யூரோ,yūrō,,a1
"even (more, better)",adverb,இன்னும் / மேலும்,iṉṉum / mēlum,,a1
even (unexpectedly),adverb,கூட,kūṭa,,a1
"evening (common, colloquial)",noun,மாலை,mālai,,a1
"evening (formal, dusk)",noun,அந்தி / மாலை,anti / mālai,,a1
event (happening),noun,நிகழ்வு / சம்பவம்,nikaḻvu / campavam,,a1
event (planned function),noun,நிகழ்ச்சி / விழா,nikaḻcci / viḻā,,a1
ever (always),adverb,எப்போதும் / எப்பொழுதும்,eppōtum / eppoḻutum,,a1
ever (at any time),adverb,எப்போதாவது,eppōtāvatu,,a1
every,determiner,ஒவ்வொரு / சகல,ovvoru / cakala,,a1
everybody,pronoun,எல்லோரும் / அனைவரும்,ellōrum / aṉaivarum,,a1
everyone,pronoun,எல்லோரும் / அனைவரும்,ellōrum / aṉaivarum,,a1
"everything (colloquial, spoken)",pronoun,எல்லாம்,ellām,,a1
"everything (standard, complete)",pronoun,அனைத்தும் / சகலமும்,aṉaittum / cakalamum,,a1
"exam (test, quiz)",noun,தேர்வு / பரீட்சை,tērvu / parīṭcai,,a1
"example (instance, illustration)",noun,உதாரணம் / எடுத்துக்காட்டு,utāraṇam / eṭuttukkāṭṭu,,a1
"example (model, pattern)",noun,மாதிரி / முன்மாதிரி,mātiri / muṉmātiri,,a1
excited (eagerly anticipating),adjective,ஆர்வமாக / உற்சாகமாக,ārvamāka / uṟcākamāka,,a1
"exciting (interesting, inspiring)",adjective,சுவாரஸ்யமான / ஊக்கமளிக்கும்,cuvārasyamāṉa / ūkkamaḷikkum,,a1
"exciting (thrilling, adventurous)",adjective,பரபரப்பான / சாகசமான,paraparappāṉa / cākacamāṉa,,a1
exercise (physical activity),noun,உடற்பயிற்சி / பயிற்சி,uṭaṟpayiṟci / payiṟci,,a1
exercise (practice problem),noun,பயிற்சி / கணக்கு,payiṟci / kaṇakku,,a1
expensive,adjective,விலை உயர்ந்த / அதிக விலை,vilai uyarnta / atika vilai,,a1
extra,adjective,கூடுதல் / மேலதிக,kūṭutal / mēlatika,,a1
eye,noun,கண்,kaṇ,,a1
fact,noun,உண்மை / நிதர்சனம்,uṇmai / nitarcaṉam,,a1
false (not true),adjective,தவறான / பொய்யான,tavaṟāṉa / poyyāṉa,,a1
family,noun,குடும்பம் / சுற்றம்,kuṭumpam / cuṟṟam,,a1
fantastic (excellent),adjective,அருமையான / அற்புதமான / மிகச்சிறந்த,arumaiyāṉa / aṟputamāṉa / mikacciṟanta,,a1
far (extent or degree),adverb,தூரம் / வெகுதூரம் / தொலைவில்,tūram / vekutūram / tolaivil,,a1
farm,noun,பண்ணை / விவசாய நிலம் / வேளாண் பண்ணை,paṇṇai / vivacāya nilam / vēḷāṇ paṇṇai,,a1
farmer,noun,விவசாயி / உழவர்,vivacāyi / uḻavar,,a1
farmer (formal),noun,உழவர் / வேளாண்மையாளர்,uḻavar / vēḷāṇmaiyāḷar,,a1
fast (securely fixed),adjective,உறுதியான / நிலையான / இறுக்கமான,uṟutiyāṉa / nilaiyāṉa / iṟukkamāṉa,,a1
"fast (speedy, rapid)",adverb,வேகமாக / விரைவாக / சீக்கிரம்,vēkamāka / viraivāka / cīkkiram,,a1
father (colloquial),noun,அப்பா / அப்பு,appā / appu,,a1
father (formal),noun,தந்தை / தகப்பன்,tantai / takappaṉ,,a1
"father (formal, biological)",noun,தந்தை / தகப்பன் / பிதா,tantai / takappaṉ / pitā,,a1
favourite,noun,பிடித்தமான ஒன்று / விருப்பமானது / பிரியமானது,piṭittamāṉa oṉṟu / viruppamāṉatu / piriyamāṉatu,,a1
february,noun,பிப்ரவரி / மாசி,pipravari / māci,,a1
feeding,noun,உணவூட்டல் / தீனி கொடுத்தல்,uṇavūṭṭal / tīṉi koṭuttal,,a1
"feeling (emotion, sentiment)",noun,உணர்வு / மனநிலை / எண்ணம்,uṇarvu / maṉanilai / eṇṇam,,a1
feeling (physical sensation),noun,உணர்ச்சி / தொடுஉணர்வு / உடல் உணர்வு,uṇarcci / toṭuuṇarvu / uṭal uṇarvu,,a1
few,determiner,சில / குறைவான / ஒருசில,cila / kuṟaivāṉa / orucila,,a1
"few (a small number, 'a few')",pronoun,சில / ஒருசில,cila / orucila,,a1
"few (negative, scarcity)",adjective,குறைவான / மிகச்சில / அரிதான,kuṟaivāṉa / mikaccila / aritāṉa,,a1
fifteen,number,பதினைந்து,patiṉaintu,,a1
fifth,ordinal number,ஐந்தாவது,aintāvatu,,a1
fifty,number,ஐம்பது,aimpatu,,a1
film (movie),noun,திரைப்படம் / சினிமா / படம்,tiraippaṭam / ciṉimā / paṭam,,a1
film (thin layer),noun,படலம் / மெல்லிய அடுக்கு / பூச்சு,paṭalam / melliya aṭukku / pūccu,,a1
"final (exam, match)",adjective,இறுதி / கடைசியான / முடிவு,iṟuti / kaṭaiciyāṉa / muṭivu,,a1
"fine (thin, granular)",adjective,மெல்லிய / நுண்ணிய / மிருதுவான,melliya / nuṇṇiya / mirutuvāṉa,,a1
fire,noun,தீ / நெருப்பு / அக்னி,tī / neruppu / akṉi,,a1
"first (at first, initially)",adverb,முதலில் / ஆரம்பத்தில்,mutalil / ārampattil,,a1
"first (initially, at the start)",adverb,முதலில் / ஆரம்பத்தில்,mutalil / ārampattil,,a1
"first (initially, before starting)",determiner,முதல் / ஆரம்ப,mutal / ārampa,,a1
first (ordinal number),determiner,முதல் / முதலாம்,mutal / mutalām,,a1
fish,noun,மீன்,mīṉ,,a1
flat,noun,தட்டை / சமதளம்,taṭṭai / camataḷam,,a1
flat (apartment),noun,பிளாட் / அடுக்குமாடி குடியிருப்பு,piḷāṭ / aṭukkumāṭi kuṭiyiruppu,,a1
flight (act of flying),noun,பறப்பு / பறத்தல்,paṟappu / paṟattal,,a1
flight (airplane journey),noun,விமானப் பயணம் / விமான சேவை,vimāṉap payaṇam / vimāṉa cēvai,,a1
floor (story of a building),noun,மாடி / தளம்,māṭi / taḷam,,a1
floor (surface of a room),noun,தரை / தளம்,tarai / taḷam,,a1
flower,noun,பூ / மலர் / புஷ்பம்,pū / malar / puṣpam,,a1
"food (meal, main course)",noun,உணவு / சாப்பாடு,uṇavu / cāppāṭu,,a1
food (sustenance),noun,உணவு / ஆகாரம்,uṇavu / ākāram,,a1
foot (base of object),noun,அடி / அடிமட்டம்,aṭi / aṭimaṭṭam,,a1
football,noun,கால்பந்து,kālpantu,,a1
"for (cost, exchange)",preposition,-க்கு / ஆக,-kku / āka,,a1
for (duration of time),preposition,ஆக / வரை,āka / varai,,a1
"for (purpose, recipient)",preposition,-க்காக / -க்கு,-kkāka / -kku,,a1
"forest (general, jungle)",noun,காடு / வனம்,kāṭu / vaṉam,,a1
form (document),noun,படிவம் / ஃபார்ம்,paṭivam / fārm,,a1
"form (physical structure, appearance)",noun,வடிவம் / தோற்றம் / உருவம்,vaṭivam / tōṟṟam / uruvam,,a1
form (shape),noun,வடிவம் / உருவம்,vaṭivam / uruvam,,a1
forty,number,நாற்பது,nāṟpatu,,a1
four,number,நான்கு,nāṉku,,a1
fourteen,number,பதினான்கு,patiṉāṉku,,a1
free (not costing money),adjective,இலவசம் / கட்டணமில்லா,ilavacam / kaṭṭaṇamillā,,a1
"free (unconstrained, independent)",adjective,சுதந்திரமான / தடையற்ற,cutantiramāṉa / taṭaiyaṟṟa,,a1
"fresh (new, not stale)",adjective,புதிய / புதிதான,putiya / putitāṉa,,a1
friday,noun,வெள்ளி / வெள்ளிக்கிழமை,veḷḷi / veḷḷikkiḻamai,,a1
fridge,noun,ஃப்ரிட்ஜ் / குளிர்சாதனப் பெட்டி,friṭj / kuḷircātaṉap peṭṭi,,a1
friend (female),noun,தோழி / சினேகிதி,tōḻi / ciṉēkiti,,a1
"friend (formal, neutral)",noun,நண்பர் / தோழர்,naṇpar / tōḻar,,a1
friend (male),noun,நண்பன் / சினேகிதன்,naṇpaṉ / ciṉēkitaṉ,,a1
friendly,adjective,நட்பான / அன்பான,naṭpāṉa / aṉpāṉa,,a1
from,preposition,இருந்து,iruntu,,a1
front,noun,முன் / முன்பக்கம்,muṉ / muṉpakkam,,a1
fruit (edible item),noun,பழம்,paḻam,,a1
"fruit (result, outcome)",noun,பலன் / விளைவு / பயன்,palaṉ / viḷaivu / payaṉ,,a1
full (satiated),adjective,வயிறு நிரம்பிய / திருப்தியான,vayiṟu nirampiya / tiruptiyāṉa,,a1
"fun (joy, happiness)",noun,மகிழ்ச்சி / வேடிக்கை / குதூகலம்,makiḻcci / vēṭikkai / kutūkalam,,a1
funny (humorous),adjective,வேடிக்கையான / நகைச்சுவையான,vēṭikkaiyāṉa / nakaiccuvaiyāṉa,,a1
funny (strange or odd),adjective,விசித்திரமான / வித்தியாசமான,vicittiramāṉa / vittiyācamāṉa,,a1
future,noun,எதிர்காலம்,etirkālam,,a1
future (noun),noun,எதிர்காலம்,etirkālam,,a1
"game (activity, match)",noun,விளையாட்டு / போட்டி,viḷaiyāṭṭu / pōṭṭi,,a1
"game (video, digital)",noun,வீடியோ கேம் / கணினி விளையாட்டு,vīṭiyō kēm / kaṇiṉi viḷaiyāṭṭu,,a1
garden,noun,தோட்டம் / பூங்கா,tōṭṭam / pūṅkā,,a1
geography,noun,புவியியல்,puviyiyal,,a1
"girl (female minor, child)",noun,பெண் குழந்தை / சிறுமி / குமரி,peṇ kuḻantai / ciṟumi / kumari,,a1
"girl (female minor, formal, legal)",noun,சிறுமி / இளம்பெண்,ciṟumi / iḷampeṇ,,a1
"girlfriend (female friend, platonic)",noun,தோழி / பெண் தோழி,tōḻi / peṇ tōḻi,,a1
glass (drinking vessel),noun,டம்ளர் / குவளை,ṭamḷar / kuvaḷai,,a1
glass (material),noun,கண்ணாடி,kaṇṇāṭi,,a1
"good (excellent, high quality)",adjective,நல்ல / சிறந்த / உயர்தரமான,nalla / ciṟanta / uyartaramāṉa,,a1
"good (nice, pleasant)",adjective,நல்ல / இனிமையான,nalla / iṉimaiyāṉa,,a1
"goodbye (general, polite or formal)",exclamation,போய் வருகிறேன் / வணக்கம் / விடைபெறுகிறேன்,pōy varukiṟēṉ / vaṇakkam / viṭaipeṟukiṟēṉ,,a1
