id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
149,brother (elder),noun,a1,N/A,भैया (m) / बड़े भाई (m) / अग्रज (m),भाई जान (m) / बड़े भाई (m) / भाई (m),bhaiyā (m) / baṛē bhāī (m) / agraj (m),bhāī jān (m) / baṛē bhāī (m) / bhāī (m)
150,brother (younger),noun,a1,nan,छोटा भाई (m) / भाई (m) / अनुज (m),छोटा भाई (m) / भाई (m) / बर्रादर-ए-ख़ुर्द (m),chōṭā bhāī (m) / bhāī (m) / anuj (m),chōṭā bhāī (m) / bhāī (m) / barrādar-ē-k͟hurd (m)
151,brown,noun,a1,nan,भूरा रंग (m) / बादामी रंग (m) / कत्थई रंग (m),भूरा रंग (m) / बादामी रंग (m) / कत्थई रंग (m) / ख़ाकी रंग (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m) / k͟hākī raṁg (m)
152,brown (adjective),noun,a1,nan,भूरा / बादामी / कत्थई,भूरा / बादामी / कत्थई / ख़ाकी,bhūrā / bādāmī / katthaī,bhūrā / bādāmī / katthaī / k͟hākī
153,building,noun,a1,nan,इमारत (f) / भवन (m) / अट्टालिका (f),इमारत (f) / बिल्डिंग (f) / मकाँ (m),imārat (f) / bhavan (m) / aṭṭālikā (f),imārat (f) / bilḍiṁg (f) / makām̐ (m)
154,bus,noun,a1,nan,बस (f) / बस गाड़ी (f),बस (f) / बस गाड़ी (f),bas (f) / bas gāṛī (f),bas (f) / bas gāṛī (f)
155,"business (commercial enterprise, trade)",noun,a1,nan,कारोबार (m) / व्यापार (m) / व्यवसाय (m),कारोबार (m) / बिज़नेस (m) / तिजारत (f),kārōbār (m) / vyāpār (m) / vyavasāy (m),kārōbār (m) / bizanēs (m) / tijārat (f)
156,"busy (crowded, bustling)",adjective,a1,nan,भीड़-भाड़ वाला / व्यस्त / चहल-पहल वाला,भीड़-भाड़ वाला / मसरूफ़ / चहल-पहल वाला,bhīṛa-bhāṛa vālā / vyast / cahal-pahal vālā,bhīṛa-bhāṛa vālā / masarūf / cahal-pahal vālā
157,busy (telephone line engaged),adjective,a1,nan,व्यस्त / एंगेज्ड,मसरूफ़ / एंगेज्ड,vyast / ēṁgējḍa,masarūf / ēṁgējḍa
158,by (deadline),preposition,a1,nan,तक / से पहले,तक / से पहले,tak / sē pahalē,tak / sē pahalē
159,by (means of),preposition,a1,nan,से / द्वारा,से / के ज़रिए,sē / dvārā,sē / kē zariē
160,"by (near, beside)",preposition,a1,nan,पास / नज़दीक / समीप,पास / नज़दीक / क़रीब,pās / nazadīk / samīp,pās / nazadīk / qarīb
161,bye (casual),noun,a1,nan,टाटा (f) / अलविदा (f) / विदाई (f),टाटा (f) / अलविदा (f) / रुख़्सत (f),ṭāṭā (f) / alavidā (f) / vidāī (f),ṭāṭā (f) / alavidā (f) / ruk͟hsat (f)
162,bye (polite parting),exclamation,a1,nan,अलविदा / फिर मिलेंगे,अलविदा / ख़ुदा हाफ़िज़ / अल्ला हाफ़िज़,alavidā / phir milēṁgē,alavidā / k͟hudā hāfiz / allā hāfiz
163,cafe,noun,a1,nan,कैफ़े (m) / कॉफ़ी-हाउस (m),कैफ़े (m) / कॉफ़ी-हाउस (m),kaifē (m) / kôfī-hāus (m),kaifē (m) / kôfī-hāus (m)
164,cake,noun,a1,nan,केक (m),केक (m),kēk (m),kēk (m)
165,"call (shout, cry)",noun,a1,nan,पुकार (f) / आवाज़ (f) / चीख़ (f),पुकार (f) / आवाज़ (f) / चीख़ (f) / सदा (f),pukār (f) / āvāz (f) / cīk͟h (f),pukār (f) / āvāz (f) / cīk͟h (f) / sadā (f)
166,call (telephone),noun,a1,nan,फ़ोन (m) / कॉल (f) / दूरभाष (m),फ़ोन (m) / कॉल (f) / टेलीफ़ोन (m),fōn (m) / kôl (f) / dūrabhāṣa (m),fōn (m) / kôl (f) / ṭēlīfōn (m)
167,camera,noun,a1,nan,कैमरा (m),कैमरा (m),kaimarā (m),kaimarā (m)
168,can (ability),modal verb,a1,nan,सकना,सकना,sakanā,sakanā
169,"can (permission, request)",modal verb,a1,nan,सकना / इजाज़त होना,सकना / इजाज़त होना,sakanā / ijāzat hōnā,sakanā / ijāzat hōnā
170,"cannot (be allowed to , prohibited)",modal verb,a1,nan,नहीं कर पाना / मना होना / वर्जित होना,नहीं कर पाना / मना होना / मम्नूअ होना,nahīṁ kar pānā / manā hōnā / varjit hōnā,nahīṁ kar pānā / manā hōnā / mamnūa hōnā
171,"capital (chief, of the main city)",adjective,a1,nan,मुख्य / प्रधान / राजधानी का,मुख्य / अहम / दारुल-हुकूमत का,mukhy / pradhān / rājadhānī kā,mukhy / aham / dārul-hukūmat kā
172,capital (city),noun,a1,nan,राजधानी (f),राजधानी (f) / दारुल-हुकूमत (m) / पाय-ए-तख़्त (m),rājadhānī (f),rājadhānī (f) / dārul-hukūmat (m) / pāy-ē-tak͟ht (m)
173,capital (financial assets),noun,a1,nan,पूँजी (f) / निधि (f) / सरमाया (m),पूँजी (f) / सरमाया (m) / रासुल-माल (m),pūm̐jī (f) / nidhi (f) / saramāyā (m),pūm̐jī (f) / saramāyā (m) / rāsul-māl (m)
174,capital (letter),adjective,a1,nan,बड़ा / वृहत्,बड़ा / कबीर,baṛā / vr̥hat,baṛā / kabīr
175,car,noun,a1,nan,गाड़ी (f) / कार (f) / मोटर गाड़ी (f),गाड़ी (f) / कार (f) / मोटर गाड़ी (f),gāṛī (f) / kār (f) / mōṭar gāṛī (f),gāṛī (f) / kār (f) / mōṭar gāṛī (f)
176,"card (greeting, post)",noun,a1,nan,कार्ड (m) / शुभकामना पत्र (m) / डाक पत्र (m),कार्ड (m) / मुबारकबादी कार्ड (m) / पोस्ट कार्ड (m),kārḍa (m) / śubhakāmanā patr (m) / ḍāk patr (m),kārḍa (m) / mubārakabādī kārḍa (m) / pōsṭa kārḍa (m)
177,"card (ID, Bank)",noun,a1,nan,कार्ड (m) / पहचान पत्र (m) / बैंक कार्ड (m),कार्ड (m) / शनाख़्ती कार्ड (m) / बैंक कार्ड (m),kārḍa (m) / pahacān patr (m) / baiṁk kārḍa (m),kārḍa (m) / śanāk͟htī kārḍa (m) / baiṁk kārḍa (m)
178,career,noun,a1,nan,करियर (m) / पेशा (m) / वृत्ति (f) / व्यवसाय (m),करियर (m) / पेशा (m) / रोज़गार (m) / मुलाज़मत (f),kariyar (m) / pēśā (m) / vr̥tti (f) / vyavasāy (m),kariyar (m) / pēśā (m) / rōzagār (m) / mulāzamat (f)
179,carrot,noun,a1,nan,गाजर (f),गाजर (f),gājar (f),gājar (f)
180,cat,noun,a1,nan,बिल्ली (f) / मार्जारी (f),बिल्ली (f) / क़ित्ता (m),billī (f) / mārjārī (f),billī (f) / qittā (m)
181,cd,noun,a1,nan,सीडी (f) / कॉम्पैक्ट डिस्क (f),सीडी (f) / कॉम्पैक्ट डिस्क (f),sīḍī (f) / kômpaikṭa ḍisk (f),sīḍī (f) / kômpaikṭa ḍisk (f)
182,cent (unit of land area),noun,a1,nan,सेंट (m),सेंट (m),sēṁṭa (m),sēṁṭa (m)
183,"centre (institution, hub)",noun,a1,nan,केंद्र (m) / सेंटर (m) / मरकज़ (m),मरकज़ (m) / सेंटर (m) / केंद्र (m),kēṁdr (m) / sēṁṭar (m) / marakaz (m),marakaz (m) / sēṁṭar (m) / kēṁdr (m)
184,century (100 years),noun,a1,nan,सदी (f) / शताब्दी (f),सदी (f) / क़र्न (m),sadī (f) / śatābdī (f),sadī (f) / qarn (m)
185,century (cricket score),noun,a1,nan,शतक (m) / सेंचुरी (f),शतक (m) / सेंचुरी (f),śatak (m) / sēṁcurī (f),śatak (m) / sēṁcurī (f)
186,change (alteration),noun,a1,nan,बदलाव (m) / तब्दीली (f) / परिवर्तन (m),तब्दीली (f) / बदलाव (m) / परिवर्तन (m),badalāv (m) / tabdīlī (f) / parivartan (m),tabdīlī (f) / badalāv (m) / parivartan (m)
187,change (money remainder),noun,a1,nan,खुले पैसे (m) / छुट्टा (m) / शेष (m),खुले पैसे (m) / छुट्टा (m) / बाक़ी (m),khulē paisē (m) / chuṭṭā (m) / śēṣa (m),khulē paisē (m) / chuṭṭā (m) / bāqī (m)
188,chart (map for navigation),noun,a1,nan,चार्ट (m) / नक़्शा (m) / मानचित्र (m),नक़्शा (m) / चार्ट (m) / ख़रीता (m),cārṭa (m) / naqśā (m) / mānacitr (m),naqśā (m) / cārṭa (m) / k͟harītā (m)
189,cheap (low cost),adjective,a1,nan,सस्ता / कम दाम का,सस्ता / अर्ज़ाँ,sastā / kam dām kā,sastā / arzām̐
190,cheap (low quality),adjective,a1,nan,सस्ता / घटिया / निम्न कोटि का,सस्ता / घटिया / कम-ज़ोर / अदना,sastā / ghaṭiyā / nimn kōṭi kā,sastā / ghaṭiyā / kam-zōr / adanā
191,"cheap (stingy, miserly)",adjective,a1,nan,कंजूस / मख्खीचूस / कृपण,कंजूस / बख़ील / तंग-दिल,kaṁjūs / makhkhīcūs / kr̥paṇa,kaṁjūs / bak͟hīl / taṁg-dil
192,cheese,noun,a1,nan,चीज़ (f) / पनीर (m),चीज़ (f) / पनीर (m),cīz (f) / panīr (m),cīz (f) / panīr (m)
193,chicken (animal),noun,a1,nan,मुर्गी (f) / मुर्गा (m) / कुक्कुट (m),मुर्गी (f) / मुर्गा (m) / कुक्कुट (m),murgī (f) / murgā (m) / kukkuṭa (m),murgī (f) / murgā (m) / kukkuṭa (m)
194,chicken (meat),noun,a1,nan,चिकन (m) / मुर्गे का गोश्त (m) / कुक्कुट मांस (m),चिकन (m) / मुर्गे का गोश्त (m) / कुक्कुट मांस (m),cikan (m) / murgē kā gōśt (m) / kukkuṭa māṁs (m),cikan (m) / murgē kā gōśt (m) / kukkuṭa māṁs (m)
195,chocolate,noun,a1,nan,चॉकलेट (f),चॉकलेट (f),côkalēṭa (f),côkalēṭa (f)
196,city,noun,a1,nan,शहर (m) / नगर (m) / महानगर (m),शहर (m) / क़स्बा (m) / नगर (m),śahar (m) / nagar (m) / mahānagar (m),śahar (m) / qasbā (m) / nagar (m)
197,class (category/type),noun,a1,nan,क़िस्म (f) / प्रकार (m) / वर्ग (m),क़िस्म (f) / नौइयत (f) / वर्ग (m),qism (f) / prakār (m) / varg (m),qism (f) / nauiyat (f) / varg (m)
198,class (grade level),noun,a1,nan,क्लास (f) / कक्षा (f) / जमात (f),क्लास (f) / जमात (f) / दर्जा (m),klās (f) / kakṣā (f) / jamāt (f),klās (f) / jamāt (f) / darjā (m)
199,"class (lesson, session)",noun,a1,nan,क्लास (f) / कक्षा (f) / पाठ (m),क्लास (f) / जमात (f) / सबक़ (m),klās (f) / kakṣā (f) / pāṭh (m),klās (f) / jamāt (f) / sabaq (m)
200,class (social stratum),noun,a1,N/A,तबक़ा (m) / वर्ग (m) / श्रेणी (f),तबक़ा (m) / दर्जा (m) / ज़ात (f),tabaqā (m) / varg (m) / śrēṇī (f),tabaqā (m) / darjā (m) / zāt (f)
201,classroom,noun,a1,N/A,क्लासरूम (m) / क्लास (f) / कक्षा (f),क्लासरूम (m) / दरसगाह (f) / जमाअत-ख़ाना (m),klāsarūm (m) / klās (f) / kakṣā (f),klāsarūm (m) / darasagāh (f) / jamāat-k͟hānā (m)
202,clock (wall or desk timepiece),noun,a1,N/A,घड़ी (f) / दीवार घड़ी (f),घड़ी (f) / साअत-नुमा (m),ghaṛī (f) / dīvār ghaṛī (f),ghaṛī (f) / sāat-numā (m)
203,"clothes (garments, apparel)",noun,a1,N/A,कपड़े (m) / वस्त्र (m) / पोशाक (f),कपड़े (m) / लिबास (m) / पोशाक (f),kapaṛē (m) / vastr (m) / pōśāk (f),kapaṛē (m) / libās (m) / pōśāk (f)
204,club (organization),noun,a1,N/A,क्लब (m) / संस्था (f) / मंडल (m),क्लब (m) / अंजुमन (f) / इदारा (m),klab (m) / saṁsthā (f) / maṁḍal (m),klab (m) / aṁjuman (f) / idārā (m)
205,club (venue),noun,a1,N/A,क्लब (m),क्लब (m) / महफ़िल-ख़ाना (m),klab (m),klab (m) / mahafil-k͟hānā (m)
206,coffee,noun,a1,N/A,कॉफ़ी (f),कॉफ़ी (f) / क़हवा (m),kôfī (f),kôfī (f) / qahavā (m)
207,"cold (cool, refreshing)",adjective,a1,N/A,ठंडा / सर्द / शीतल,ठंडा / सर्द / ख़ुशगवार,ṭhaṁḍā / sard / śītal,ṭhaṁḍā / sard / k͟huśagavār
208,cold (illness),noun,a1,N/A,सर्दी (f) / ज़ुकाम (m),ज़ुकाम (m) / नज़ला (m) / सर्दी (f),sardī (f) / zukām (m),zukām (m) / nazalā (m) / sardī (f)
209,cold (low temperature),noun,a1,N/A,ठंड (f) / सर्दी (f),ठंड (f) / सर्दी (f),ṭhaṁḍa (f) / sardī (f),ṭhaṁḍa (f) / sardī (f)
210,"cold (temperature, unpleasant)",adjective,a1,nan,ठंडा / शीतल,ठंडा / सर्द,ṭhaṁḍā / śītal,ṭhaṁḍā / sard
211,college,noun,a1,nan,कॉलेज (m) / महाविद्यालय (m),कॉलेज (m) / दारुल-उलूम (m),kôlēj (m) / mahāvidyālay (m),kôlēj (m) / dārul-ulūm (m)
212,colour,noun,a1,nan,रंग (m) / वर्ण (m),रंग (m) / लौन (m),raṁg (m) / varṇa (m),raṁg (m) / laun (m)
213,"common (general, frequent)",adjective,a1,nan,आम / सामान्य / साधारण,आम / मामूल का / साधारण,ām / sāmāny / sādhāraṇa,ām / māmūl kā / sādhāraṇa
