id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
211,clinical (detached),adjective,c1,N/A,ಭಾವನಾ ರಹಿತ / ನಿರ್ಲಿಪ್ತ,bhāvanā rahita / nirlipta
212,"clip (of video, audio)",noun,b2,N/A,ಕ್ಲಿಪ್ / ತುಣುಕು / ಭಾಗ,klip / tuṇuku / bhāga
213,clip (ammunition holder),noun,b2,N/A,ಮದ್ದುಗುಂಡು ಪಟ್ಟಿ / ಕ್ಲಿಪ್,madduguṁḍu paṭṭi / klip
214,clock (wall or desk timepiece),noun,a1,N/A,ಗಡಿಯಾರ,gaḍiyāra
215,watch (wristwatch),noun,a1,N/A,ಕೈ ಗಡಿಯಾರ,kai gaḍiyāra
216,close (intimate),adjective,a2,N/A,ಆತ್ಮೀಯ / ನಿಕಟ,ātmīya / nikaṭa
217,close,adverb,b1,N/A,ಹತ್ತಿರ / ಸಮೀಪ,hattira / samīpa
218,close,noun,b2,N/A,ಅಂತ್ಯ / ಮುಕ್ತಾಯ / ಸಮಾಪ್ತಿ,aṁtya / muktāya / samāpti
219,to close (an establishment or session),verb,a1,intransitive,ಮುಚ್ಚು,muccu
220,closed (shut physically),adjective,a2,N/A,ಮುಚ್ಚಿದ / ಬಂದ್ ಆದ,muccida / baṁd āda
221,closed (not open for business),adjective,a2,N/A,ಮುಚ್ಚಿದ / ಬಂದ್ ಆದ,muccida / baṁd āda
222,closely (attentively),adverb,b2,N/A,ಸೂಕ್ಷ್ಮವಾಗಿ / ಗಮನವಿಟ್ಟು,sūkṣmavāgi / gamanaviṭṭu
223,"closely (in relationship, linking)",adverb,b2,N/A,ನಿಕಟವಾಗಿ / ಹತ್ತಿರವಾಗಿ,nikaṭavāgi / hattiravāgi
224,closure (physical closing),noun,c1,N/A,ಮುಚ್ಚುವಿಕೆ / ಸ್ಥಗಿತ / ಬಂದ್,muccuvike / sthagita / baṁd
225,closure (emotional resolution),noun,c1,N/A,ಸಮಾಧಾನ / ಪರಿಹಾರ / ಅಂತ್ಯ,samādhāna / parihāra / aṁtya
226,cloth (garment or formal attire),noun,b1,N/A,ವಸ್ತ್ರ / ಉಡುಪು,vastra / uḍupu
227,cloth (rag or cleaning duster),noun,b1,N/A,ಅರಿವೆ / ಬಟ್ಟೆ,arive / baṭṭe
228,"clothes (garments, apparel)",noun,a1,N/A,ಬಟ್ಟೆಗಳು / ವಸ್ತ್ರಗಳು,baṭṭegaḷu / vastragaḷu
229,"clothing (formal, literary)",noun,a2,N/A,ವಸ್ತ್ರಗಳು / ಉಡುಪು / ಪೋಷಾಕು,vastragaḷu / uḍupu / pōṣāku
230,cloud,noun,a2,N/A,ಮೋಡ,mōḍa
231,club (organization),noun,a1,N/A,ಕ್ಲಬ್ / ಸಂಸ್ಥೆ / ಕೂಟ,klab / saṁsthe / kūṭa
232,club (venue),noun,a1,N/A,ನೈಟ್ಕ್ಲಬ್ / ಕ್ಲಬ್,naiṭklab / klab
233,clue,noun,b1,N/A,ಸುಳಿವು / ಸಂಕೇತ,suḷivu / saṁkēta
234,"cluster (abstract, technical)",noun,c1,N/A,ಗುಚ್ಛ / ಸಮೂಹ / ಗುಂಪು,guccha / samūha / guṁpu
235,"coach (trainer, instructor)",noun,a2,N/A,ತರಬೇತುದಾರ / ಬೋಧಕ,tarabētudāra / bōdhaka
236,coach (long-distance bus or train carriage),noun,a2,N/A,ಬೋಗಿ / ಕೋಚ್,bōgi / kōc
237,"to coach (sports, training)",verb,b1,transitive,ತರಬೇತಿ ನೀಡು / ತರಬೇತಿ ಕೊಡು,tarabēti nīḍu / tarabēti koḍu
238,"to coach (to tutor, instruct)",verb,b1,transitive,ಬೋಧಿಸು / ಪಾಠ ಮಾಡು / ತರಬೇತಿ ಕೊಡು,bōdhisu / pāṭha māḍu / tarabēti koḍu
239,coal (fossil fuel),noun,b1,N/A,ಕಲ್ಲಿದ್ದಲು,kalliddalu
240,charcoal,noun,b1,N/A,ಇದ್ದಿಲು,iddilu
241,coalition,noun,c1,N/A,ಮೈತ್ರಿಕೂಟ / ಒಕ್ಕೂಟ,maitrikūṭa / okkūṭa
242,coast,noun,a2,N/A,ಕರಾವಳಿ / ಸಮುದ್ರ ತೀರ,karāvaḷi / samudra tīra
243,coastal,adjective,c1,N/A,ಕರಾವಳಿ / ಸಮುದ್ರ ತೀರದ,karāvaḷi / samudra tīrada
244,coat (layer),noun,a2,N/A,ಪದರ / ಲೇಪನ,padara / lēpana
245,cocktail (mixed drink),noun,c1,N/A,ಕಾಕ್ಟೇಲ್ / ಮಿಶ್ರ ಪಾನೀಯ,kākṭēl / miśra pānīya
246,"cocktail (party, event)",noun,c1,N/A,ಕಾಕ್ಟೇಲ್ ಪಾರ್ಟಿ / ಸಂಜೆಕೂಟ,kākṭēl pārṭi / saṁjekūṭa
247,code (system of laws or rules),noun,a2,N/A,ಸಂಹಿತೆ / ನಿಯಮಾವಳಿ,saṁhite / niyamāvaḷi
248,code (computer instructions),noun,a2,N/A,ಕೋಡ್ / ಸಂಕೇತ,kōḍ / saṁkēta
249,coffee,noun,a1,N/A,ಕಾಫಿ,kāphi
250,cognitive,adjective,c1,N/A,ಅರಿವಿನ / ಜ್ಞಾನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ / ಬೌದ್ಧಿಕ,arivina / jñānakke saṁbaṁdhisida / bauddhika
251,coin,noun,b1,N/A,ನಾಣ್ಯ,nāṇya
252,to coincide (happen simultaneously),verb,c1,intransitive,ಏಕಕಾಲದಲ್ಲಿ ನಡೆ / ಒಂದೇ ಸಮಯದಲ್ಲಿ ಸಂಭವಿಸು / ಸಮಕಾಲೀನವಾಗು,ēkakāladalli naḍe / oṁdē samayadalli saṁbhavisu / samakālīnavāgu
253,to coincide (be in agreement),verb,c1,intransitive,ಹೊಂದಾಣಿಕೆಯಾಗು / ಒಪ್ಪಿಗೆಯಾಗು / ಸಮಂಜಸವಾಗು,hoṁdāṇikeyāgu / oppigeyāgu / samaṁjasavāgu
254,coincidence,noun,b2,N/A,ಕಾಕತಾಳೀಯ / ಆಕಸ್ಮಿಕ,kākatāḷīya / ākasmika
255,"cold (temperature, unpleasant)",adjective,a1,N/A,ಚಳಿಯಾದ / ಶೀತವಾದ,caḷiyāda / śītavāda
256,"cold (cool, refreshing)",adjective,a1,N/A,ತಂಪಾದ / ತಂಪು,taṁpāda / taṁpu
257,cold (illness),noun,a1,N/A,ನೆಗಡಿ / ಶೀತ,negaḍi / śīta
258,cold (low temperature),noun,a1,N/A,ಚಳಿ / ಶೀತ,caḷi / śīta
259,to collaborate (as a formal partner),verb,c1,intransitive,ಸಹಕರಿಸು / ಸಹಭಾಗಿತ್ವ ಮಾಡು / ಸಹಯೋಗ ಮಾಡು,sahakarisu / sahabhāgitva māḍu / sahayōga māḍu
260,"collaboration (teamwork, partnership)",noun,c1,N/A,ಸಹಯೋಗ / ಸಹಕಾರ / ಸಹಭಾಗಿತ್ವ,sahayōga / sahakāra / sahabhāgitva
261,"collaboration (with the enemy, collusion)",noun,c1,N/A,ಶತ್ರುಗಳೊಂದಿಗೆ ಸಹಕಾರ / ಒಳಸಂಚು / ದೇಶದ್ರೋಹ,śatrugaḷoṁdige sahakāra / oḷasaṁcu / dēśadrōha
262,collusion,noun,c1,N/A,ಕುಮ್ಮಕ್ಕು / ಒಳಸಂಚು / ಗುಪ್ತ ಒಪ್ಪಂದ,kummakku / oḷasaṁcu / gupta oppaṁda
263,collapse (physical structure),noun,b2,N/A,ಕುಸಿತ / ಬಿದ್ದುಹೋಗುವಿಕೆ,kusita / bidduhōguvike
264,"collapse (market, health, system)",noun,b2,N/A,ಪತನ / ಕುಸಿತ / ಅಧಃಪತನ,patana / kusita / adhaḥpatana
265,"to collapse (from exhaustion, illness)",verb,b2,intransitive,ಬಿದ್ದುಹೋಗು / ಕುಸಿದು ಬೀಳು / ಪ್ರಜ್ಞೆ ತಪ್ಪಿ ಬೀಳು,bidduhōgu / kusidu bīḷu / prajñe tappi bīḷu
266,"to collapse (negotiations, system)",verb,b2,intransitive,ವಿಫಲವಾಗು / ಕುಸಿದುಬೀಳು / ಭಗ್ನವಾಗು,viphalavāgu / kusidubīḷu / bhagnavāgu
267,colleague,noun,a2,N/A,ಸಹೋದ್ಯೋಗಿ / ಜೊತೆಗಾರ,sahōdyōgi / jotegāra
268,"to collect (gather together, assemble)",verb,a2,intransitive,ಸೇರು / ಒಟ್ಟುಗೂಡು,sēru / oṭṭugūḍu
269,"to collect (payment, debt)",verb,a2,transitive,ವಸೂಲಿ ಮಾಡು / ಸಂಗ್ರಹಿಸು,vasūli māḍu / saṁgrahisu
270,"to collect (items, information)",verb,a2,transitive,ಸಂಗ್ರಹಿಸು / ಒಟ್ಟುಮಾಡು / ಕೂಡಿಸು,saṁgrahisu / oṭṭumāḍu / kūḍisu
271,collection (of funds or debt),noun,b1,N/A,ವಸೂಲಿ / ಸಂಗ್ರಹ,vasūli / saṁgraha
272,"collection (of items, art, stamps)",noun,b1,N/A,ಸಂಗ್ರಹ / ಸಂಗ್ರಹಣೆ,saṁgraha / saṁgrahaṇe
273,collective,adjective,c1,N/A,ಸಾಮೂಹಿಕ / ಸಮೂಹದ,sāmūhika / samūhada
274,collector (District Administrative Officer),noun,b2,N/A,ಜಿಲ್ಲಾಧಿಕಾರಿ,jillādhikāri
275,"collector (of stamps, items, etc.)",noun,b2,N/A,ಸಂಗ್ರಾಹಕ / ಸಂಗ್ರಹಕಾರ,saṁgrāhaka / saṁgrahakāra
276,college,noun,a1,N/A,ಕಾಲೇಜು / ಮಹಾವಿದ್ಯಾಲಯ,kālēju / mahāvidyālaya
277,collision (physical impact),noun,c1,N/A,ಡಿಕ್ಕಿ / ಘರ್ಷಣೆ / ಅಪ್ಪಳಿಸುವಿಕೆ,ḍikki / gharṣaṇe / appaḷisuvike
278,"collision (clash of interests, ideas)",noun,c1,N/A,ಸಂಘರ್ಷ / ಘರ್ಷಣೆ / ವೈರುಧ್ಯ,saṁgharṣa / gharṣaṇe / vairudhya
279,colonial,adjective,c1,N/A,ವಸಾಹತುಶಾಹಿ / ವಸಾಹತಿನ,vasāhatuśāhi / vasāhatina
280,colony (political state),noun,b2,N/A,ವಸಾಹತು / ಅಧೀನ ರಾಜ್ಯ,vasāhatu / adhīna rājya
281,colony (residential area),noun,b2,N/A,ಕಾಲೋನಿ / ಬಡಾವಣೆ,kālōni / baḍāvaṇe
282,colour,noun,a1,N/A,ಬಣ್ಣ / ವರ್ಣ,baṇṇa / varṇa
283,coloured,adjective,b1,N/A,ಬಣ್ಣದ / ವರ್ಣಮಯ,baṇṇada / varṇamaya
284,"colourful (vivid, dramatic)",adjective,b2,N/A,ವರ್ಣರಂಜಿತ / ಬಣ್ಣಬಣ್ಣದ / ರೋಚಕ,varṇaraṁjita / baṇṇabaṇṇada / rōcaka
285,column (pillar or support),noun,a2,N/A,ಕಂಬ / ಸ್ತಂಭ,kaṁba / staṁbha
286,column (in a table or spreadsheet),noun,a2,N/A,ಕಾಲಂ / ಅಂಕಣ,kālaṁ / aṁkaṇa
287,column (newspaper feature),noun,a2,N/A,ಅಂಕಣ,aṁkaṇa
288,columnist,noun,c1,N/A,ಅಂಕಣಕಾರ,aṁkaṇakāra
289,combat,noun,c1,N/A,ಹೋರಾಟ / ಯುದ್ಧ / ಕದನ,hōrāṭa / yuddha / kadana
290,to combat (a problem or issue),verb,c1,transitive,ಹೋರಾಡು / ಎದುರಿಸು,hōrāḍu / edurisu
291,to combat (a disease or issue),verb,c1,transitive,ನಿಗ್ರಹಿಸು / ಹತ್ತಿಕ್ಕು,nigrahisu / hattikku
292,combination (code or sequence),noun,b2,N/A,ಸಂಯೋಜನೆ / ಕೂಡಿಕೆ,saṁyōjane / kūḍike
293,to combine (to join or integrate),verb,b1,transitive,ಸೇರಿಸು / ಒಟ್ಟುಗೂಡಿಸು,sērisu / oṭṭugūḍisu
294,"to combine (concepts, integrate)",verb,b1,transitive,ಸಂಯೋಜಿಸು / ಒಗ್ಗೂಡಿಸು,saṁyōjisu / oggūḍisu
295,to combine (to mix ingredients),verb,b1,transitive,ಬೆರೆಸು / ಮಿಶ್ರಣ ಮಾಡು / ಕಲಸು,beresu / miśraṇa māḍu / kalasu
296,to come (informal singular),verb,a1,intransitive,ಬಾ,bā
297,"to come (respectful, formal command)",verb,a1,intransitive,ಬನ್ನಿ,banni
298,"attractive (desirable offer, opportunity)",adjective,a2,N/A,ಆಕರ್ಷಕ / ಮನಮೋಹಕ / ಸೆಳೆಯುವ,ākarṣaka / manamōhaka / seḷeyuva
299,attribute (quality),noun,c1,N/A,ಗುಣ / ಲಕ್ಷಣ / ವೈಶಿಷ್ಟ್ಯ,guṇa / lakṣaṇa / vaiśiṣṭya
300,"attribute (symbol, iconography)",noun,c1,N/A,ಚಿಹ್ನೆ / ಸಂಕೇತ / ಪ್ರತೀಕ,cihne / saṁkēta / pratīka
301,to attribute (cause or source),verb,c1,transitive,ಸಂಬಂಧಿಸು / ಸೇರಿಸು / ಗುಣಲಕ್ಷಣ ನೀಡು,saṁbaṁdhisu / sērisu / guṇalakṣaṇa nīḍu
302,to attribute (blame or formal responsibility),verb,c1,transitive,ಆರೋಪಿಸು / ದೂಷಿಸು,ārōpisu / dūṣisu
306,"audio (sound, medium)",adjective,b2,N/A,ಧ್ವನಿ / ಶ್ರವಣ / ಆಡಿಯೋ,dhvani / śravaṇa / āḍiyō
312,authentic (genuine object),adjective,c1,N/A,ನಿಜವಾದ / ಅಸಲಿ / ಅಧಿಕೃತ,nijavāda / asali / adhikr̥ta
313,"authentic (sincere, true nature)",adjective,c1,N/A,ಪ್ರಾಮಾಣಿಕ / ನಿಜವಾದ / ಯಥಾರ್ಥ,prāmāṇika / nijavāda / yathārtha
314,author,noun,a2,N/A,ಲೇಖಕ / ಬರಹಗಾರ / ಕರ್ತೃ,lēkhaka / barahagāra / kartr̥
315,"authority (power, control)",noun,b1,N/A,ಅಧಿಕಾರ / ನಿಯಂತ್ರಣ / ಪ್ರಭುತ್ವ,adhikāra / niyaṁtraṇa / prabhutva
316,authority (expert),noun,b1,N/A,ತಜ್ಞ / ಪರಿಣತ / ನಿಪುಣ,tajña / pariṇata / nipuṇa
317,authority (expert knowledge),noun,b1,N/A,ಪರಿಣತಿ / ಪಾಂಡಿತ್ಯ,pariṇati / pāṁḍitya
318,to authorize,verb,c1,transitive,ಅಧಿಕೃತಗೊಳಿಸು / ಅನುಮತಿ ನೀಡು / ಅನುಮೋದಿಸು,adhikr̥tagoḷisu / anumati nīḍu / anumōdisu
322,automatic (unconscious or involuntary),adjective,b2,N/A,ಸಹಜವಾದ / ಅನೈಚ್ಛಿಕ,sahajavāda / anaicchika
323,"automatically (by itself, naturally)",adverb,b2,N/A,ತಾನಾಗಿಯೇ / ಸ್ವತಃ,tānāgiyē / svataḥ
325,"autonomy (political, institutional)",noun,c1,N/A,ಸ್ವಾಯತ್ತತೆ / ಸ್ವಯಂ ಆಡಳಿತ,svāyattate / svayaṁ āḍaḷita
326,autonomy (personal freedom),noun,c1,N/A,ಸ್ವಾತಂತ್ರ್ಯ / ಸ್ವತಂತ್ರತೆ / ಸ್ವಾಯತ್ತತೆ,svātaṁtrya / svataṁtrate / svāyattate
328,"availability (of resources, stock)",noun,c1,N/A,ಲಭ್ಯತೆ / ಸಿಗುವಿಕೆ,labhyate / siguvike
329,"availability (of time, person)",noun,c1,N/A,ಲಭ್ಯತೆ / ದೊರೆಯುವಿಕೆ,labhyate / doreyuvike
330,"available (free, not busy)",adjective,a2,N/A,ಲಭ್ಯವಿರುವ / ದೊರೆಯುವ / ಖಾಲಿ ಇರುವ,labhyaviruva / doreyuva / khāli iruva
331,"available (of resources, things)",adjective,a2,N/A,ಸಿಗುವ / ದೊರೆಯುವ / ಲಭ್ಯವಿರುವ,siguva / doreyuva / labhyaviruva
333,average (ordinary quality),adjective,a2,N/A,ಸಾಮಾನ್ಯ / ಮಧ್ಯಮ / ಸರಾಸರಿ,sāmānya / madhyama / sarāsari
334,average (standard or typical),noun,a2,N/A,ಸರಾಸರಿ / ಸಾಮಾನ್ಯ / ಮಧ್ಯಮ,sarāsari / sāmānya / madhyama
336,to average (typically be or perform at a rate),verb,b1,intransitive,ಸರಾಸರಿ ಇರು / ಸರಾಸರಿ ಸಾಧಿಸು,sarāsari iru / sarāsari sādhisu
337,"to avoid (shirk, evade a responsibility or person)",verb,a2,transitive,ತಪ್ಪಿಸಿಕೋ / ದೂರವಿರು / ನಿವಾರಿಸು,tappisikō / dūraviru / nivārisu
338,to await,verb,c1,transitive,ಕಾಯಿ / ನಿರೀಕ್ಷಿಸು,kāyi / nirīkṣisu
339,award,noun,a2,N/A,ಪ್ರಶಸ್ತಿ / ಬಹುಮಾನ / ಪುರಸ್ಕಾರ,praśasti / bahumāna / puraskāra
340,to award,verb,b1,transitive,ಪ್ರಶಸ್ತಿ ನೀಡು / ಕೊಡು / ಪುರಸ್ಕರಿಸು,praśasti nīḍu / koḍu / puraskarisu
341,"aware (conscious, mindful)",adjective,b1,N/A,ಅರಿವುಳ್ಳ / ಜಾಗರೂಕ / ಗಮನವಿರುವ,arivuḷḷa / jāgarūka / gamanaviruva
342,to be aware,verb,b1,intransitive,ಅರಿತಿರು / ಜಾಗರೂಕನಾಗಿರು / ಗಮನವಿಡು,aritiru / jāgarūkanāgiru / gamanaviḍu
343,awareness,noun,b2,N/A,ಅರಿವು / ಜಾಗೃತಿ / ಪ್ರಜ್ಞೆ,arivu / jāgr̥ti / prajñe
344,away (distance or absence),adverb,a1,N/A,ದೂರ / ಹೊರಗೆ / ಪಕ್ಕಕ್ಕೆ,dūra / horage / pakkakke
345,away (into storage or hiding),adverb,a1,N/A,ಒಳಗೆ / ಎತ್ತಿಟ್ಟು / ಮರೆಮಾಚಿ,oḷage / ettiṭṭu / maremāci
346,put away,verb,a1,transitive,ಎತ್ತಿಡು / ಇರಿಸು / ಸಂಗ್ರಹಿಸು,ettiḍu / irisu / saṁgrahisu
347,awful (feeling sick or unwell),adjective,a2,N/A,ಬಹಳ ಕೆಟ್ಟ / ಅಸಹ್ಯ / ಭಯಂಕರ,bahaḷa keṭṭa / asahya / bhayaṁkara
348,awkward (socially uncomfortable),adjective,b2,N/A,ಮುಜುಗರದ / ಇರಿಸುಮುರಿಸಿನ / ಅಹಿತಕರ,mujugarada / irisumurisina / ahitakara
349,awkward (clumsy or difficult to handle),adjective,b2,N/A,ಕಷ್ಟಕರವಾದ / ಜಟಿಲವಾದ / ಅನಾನುಕೂಲವಾದ,kaṣṭakaravāda / jaṭilavāda / anānukūlavāda
350,clumsy (person),adjective,b2,N/A,ಎಡವಟ್ಟಿನ / ದಡ್ಡ / ಅಸಮರ್ಥ,eḍavaṭṭina / daḍḍa / asamartha
351,baby (term of endearment),noun,a1,N/A,ಕಂದ / ಚಿನ್ನ / ಪ್ರೀತಿಪಾತ್ರ,kaṁda / cinna / prītipātra
352,back,adjective,a2,N/A,ಹಿಂದಿನ / ಹಿಂಭಾಗದ,hiṁdina / hiṁbhāgada
353,back,adverb,a1,N/A,ಹಿಂದಕ್ಕೆ,hiṁdakke
354,back (rear side),noun,a1,N/A,ಬೆನ್ನು / ಹಿಂಭಾಗ,bennu / hiṁbhāga
355,"to back (to support, endorse)",verb,b2,transitive,ಬೆಂಬಲಿಸು / ಸಹಾಯ ಮಾಡು,beṁbalisu / sahāya māḍu
356,to back (a vehicle),verb,b2,transitive,ಹಿಂದಕ್ಕೆ ಚಲಾಯಿಸು / ರಿವರ್ಸ್ ಮಾಡು,hiṁdakke calāyisu / rivars māḍu
357,to back (to bet on),verb,b2,transitive,ಬಾಜಿ ಕಟ್ಟು,bāji kaṭṭu
358,backdrop (scenery),noun,c1,N/A,ಹಿನ್ನೆಲೆ ದೃಶ್ಯ,hinnele dr̥śya
359,backdrop (context),noun,c1,N/A,ಹಿನ್ನೆಲೆ,hinnele
360,background (setting),noun,a2,N/A,ಹಿನ್ನೆಲೆ,hinnele
361,"background (experience, history)",noun,a2,N/A,ಹಿನ್ನೆಲೆ / ಪೂರ್ವಾನುಭವ,hinnele / pūrvānubhava
362,background (experience),noun,a2,N/A,ಅನುಭವ / ಹಿನ್ನೆಲೆ,anubhava / hinnele
363,backing (support),noun,c1,N/A,ಬೆಂಬಲ / ಸಹಾಯ,beṁbala / sahāya
364,backing (lining),noun,c1,N/A,ಹಿಂಭಾಗದ ಪದರ / ಲೈನಿಂಗ್,hiṁbhāgada padara / lainiṁg
365,backup (data copy),noun,c1,N/A,ಬ್ಯಾಕಪ್ ಪ್ರತಿ / ನಕಲು,byākap prati / nakalu
366,"backup (support, reinforcement)",noun,c1,N/A,ಹೆಚ್ಚುವರಿ ಸಹಾಯ / ಬೆಂಬಲ,heccuvari sahāya / beṁbala
367,backwards (direction),adverb,b1,N/A,ಹಿಂದಕ್ಕೆ,hiṁdakke
368,backwards (in reverse order),adverb,b1,N/A,ಹಿಮ್ಮುಖವಾಗಿ,himmukhavāgi
369,bacteria,noun,b2,N/A,ಸೂಕ್ಷ್ಮಾಣುಜೀವಿ,sūkṣmāṇujīvi
370,"bad (sick, unwell)",adjective,a1,N/A,ಹುಷಾರಿಲ್ಲದ / ಅನಾರೋಗ್ಯಕರ,huṣārillada / anārōgyakara
371,"badge (official insignia, emblem)",noun,b2,N/A,ಬ್ಯಾಡ್ಜ್ / ಲಾಂಛನ / ಚಿಹ್ನೆ,byāḍj / lāṁchana / cihne
372,badly (in a poor manner),adverb,a2,N/A,ಕೆಟ್ಟದಾಗಿ,keṭṭadāgi
373,badly (severely or seriously),adverb,a2,N/A,ತೀವ್ರವಾಗಿ / ಗಂಭೀರವಾಗಿ,tīvravāgi / gaṁbhīravāgi
374,"to bag (place groceries, items inside)",verb,a1,transitive,ಚೀಲಕ್ಕೆ ಹಾಕು / ಚೀಲದಲ್ಲಿ ತುಂಬು,cīlakke hāku / cīladalli tuṁbu
375,bail,noun,c1,N/A,ಜಾಮೀನು,jāmīnu
376,"to bake (food, bread, cake)",verb,b1,transitive,ಬೇಕ್ ಮಾಡು,bēk māḍu
377,"to bake (clay, bricks, pottery)",verb,b1,transitive,ಸುಡು,suḍu
378,balance (stability),noun,b1,N/A,ಸಮತೋಲನ,samatōlana
379,balance (financial remainder),noun,b1,N/A,ಶಿಲ್ಕು,śilku
380,to balance (to achieve equilibrium),verb,b1,N/A,ಸಮತೋಲನ ಮಾಡು / ಸಮತೋಲನ ಕಾಯ್ದುಕೊಳ್ಳು,samatōlana māḍu / samatōlana kāydukoḷḷu
381,to balance (accounts),verb,b1,transitive,ಲೆಕ್ಕ ಸರಿ ಮಾಡು / ಲೆಕ್ಕ ಹೊಂದಿಸು,lekka sari māḍu / lekka hoṁdisu
382,"balanced (fair, impartial)",adjective,b2,N/A,ನಿಷ್ಪಕ್ಷಪಾತದ / ಸಮತೋಲಿತ / ನ್ಯಾಯಯುತ,niṣpakṣapātada / samatōlita / nyāyayuta
383,ball,noun,a1,N/A,ಚೆಂಡು,ceṁḍu
384,ballet,noun,b2,N/A,ಬ್ಯಾಲೆ,byāle
385,"balloon (toy, party item)",noun,b2,N/A,ಬಲೂನ್,balūn
386,balloon (aircraft),noun,b2,N/A,ವಾಯುನೌಕೆ / ಬಲೂನ್,vāyunauke / balūn
387,ballot (voting paper),noun,c1,N/A,ಮತಪತ್ರ,matapatra
388,"ballot (the process, vote)",noun,c1,N/A,ಮತದಾನ,matadāna
389,ban,noun,b1,N/A,ನಿಷೇಧ,niṣēdha
390,to ban,verb,b1,transitive,ನಿಷೇಧಿಸು / ತಡೆ ಹಿಡಿ,niṣēdhisu / taḍe hiḍi
391,"banana (unripe, raw)",noun,a1,N/A,ಬಾಳೇ ಕಾಯಿ,bāḷē kāyi
392,band (musical group),noun,a1,N/A,ಬ್ಯಾಂಡ್ / ಸಂಗೀತ ತಂಡ,byāṁḍ / saṁgīta taṁḍa
393,"band (strip, loop, or ring)",noun,a2,N/A,ಪಟ್ಟಿ / ಬ್ಯಾಂಡ್ / ಬಳೆ,paṭṭi / byāṁḍ / baḷe
394,"bank (river, lake)",noun,a1,N/A,ದಡ / ದಂಡೆ / ತೀರ / ತಟ,daḍa / daṁḍe / tīra / taṭa
395,banner (flag or standard),noun,c1,N/A,ಬಾವುಟ / ಧ್ವಜ,bāvuṭa / dhvaja
396,banner (web advertisement),noun,c1,N/A,ಬ್ಯಾನರ್,byānar
397,bar (establishment for drinks),noun,a2,N/A,ಬಾರ್,bār
398,bar (physical rod or block),noun,a2,N/A,ಸಲಾಕೆ / ಕಂಬಿ / ದಂಡ,salāke / kaṁbi / daṁḍa
399,"to bar (prohibit entry, action)",verb,b2,transitive,ತಡೆ ಹಾಕು / ನಿಷೇಧಿಸು,taḍe hāku / niṣēdhisu
400,"to bar (fasten a door, gate)",verb,b2,transitive,ಚಿಲಕ ಹಾಕು / ಭದ್ರಪಡಿಸು,cilaka hāku / bhadrapaḍisu
401,"bench (judiciary, court)",noun,c1,N/A,ನ್ಯಾಯಪೀಠ,nyāyapīṭha
402,bench (sports reserves),noun,c1,N/A,ಪರ್ಯಾಯ ಆಟಗಾರರು / ಬೆಂಚ್ ಆಟಗಾರರು,paryāya āṭagāraru / beṁc āṭagāraru
403,benchmark,noun,c1,N/A,ಮಾನದಂಡ / ಪ್ರಮಾಣ,mānadaṁḍa / pramāṇa
404,"bend (of the body, limb)",noun,b1,N/A,ಬಾಗುವಿಕೆ / ಬಾಗು,bāguvike / bāgu
405,to bend (an object),verb,b1,transitive,ಬಗ್ಗಿಸು / ಬಾಗಿಸು / ಮಡಿಸು,baggisu / bāgisu / maḍisu
